name,link,networks
bitcoin sv,https://coinmarketcap.com//currencies/bitcoin-sv/,"{'whatsonchain': 'https://whatsonchain.com/', 'www': 'https://www.oklink.com/bsv', 'explorer': 'https://explorer.viabtc.com/bsv'}"
axie infinity,https://coinmarketcap.com//currencies/axie-infinity/,"{'etherscan': 'https://etherscan.io/token/0xbb0e17ef65f82ab018d8edd776e8dd940327b28b', 'bscscan': 'https://bscscan.com/token/0x556b60c53fbC1518Ad17E03d52E47368dD4d81B3', 'explorer': 'https://explorer.harmony.one/address/0x14a7b318fed66ffdcc80c1517c172c13852865de', 'solscan': 'https://solscan.io/account/HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5', 'source_code"":': 'source_code"":'}"
decentraland,https://coinmarketcap.com//currencies/decentraland/,"{'etherscan': 'https://etherscan.io/token/decentraland', 'www': 'https://www.oklink.com/eth/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942', 'explorer': 'https://explorer.solana.com/address/7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi'}"
tezos,https://coinmarketcap.com//currencies/tezos/,"{'tzstats': 'https://tzstats.com/', 'tezblock': 'https://tezblock.io/', 'tzkt': 'https://tzkt.io/', 'bscscan': 'https://bscscan.com/token/0x16939ef78684453bfdfb47825f8a5f714f12623a', 'gitlab': 'https://gitlab.com/tezos/tezos'}"
eos,https://coinmarketcap.com//currencies/eos/,"{'eosauthority': 'https://eosauthority.com', 'eosflare': 'https://eosflare.io/', 'www': 'https://www.oklink.com/cn/bsc/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6', 'bscscan': 'https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6'}"
neo,https://coinmarketcap.com//currencies/neo/,"{'neoscan': 'https://neoscan.io/', 'explorer': 'https://explorer.o3.network/'}"
kucoin token,https://coinmarketcap.com//currencies/kucoin-token/,"{'explorer': 'https://explorer.kcc.io', 'scan': 'https://scan.kcc.io', 'www': 'https://www.oklink.com/cn/eth/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811', 'source_code"":': 'source_code"":'}"
bittorrent new,https://coinmarketcap.com//currencies/bittorrent-new/,"{'tronscan': 'https://tronscan.org/#/token20/TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4', 'www': 'https://www.oklink.com/eth/token/0xc669928185dbce49d2230cc9b0979be6dc797957', 'bscscan': 'https://bscscan.com/token/0x352Cb5E19b12FC216548a2677bD0fce83BaE434B', 'bttcscan': 'https://bttcscan.com/', 'etherscan': 'https://etherscan.io/token/0xc669928185dbce49d2230cc9b0979be6dc797957'}"
gala,https://coinmarketcap.com//currencies/gala/,"{'etherscan': 'https://etherscan.io/token/0xd1d2Eb1B1e90B638588728b4130137D262C87cae', 'www': 'https://www.oklink.com/eth/token/0xd1d2Eb1B1e90B638588728b4130137D262C87cae', 'source_code"":': 'source_code"":'}"
iota,https://coinmarketcap.com//currencies/iota/,"{'explorer': 'http://explorer.iota.org/?', 'bscscan': 'https://bscscan.com/token/0xd944f1d1e9d5f9bb90b62f9d45e447d989580782'}"
kava,https://coinmarketcap.com//currencies/kava/,"{'www': 'https://www.mintscan.io/kava', 'kava': 'https://kava.bigdipper.live', 'explorer': 'https://explorer.binance.org/asset/KAVA-10C', 'kavascan': 'https://kavascan.com/', 'hubble': 'https://hubble.figment.network/kava/chains/kava-2'}"
bonk1,https://coinmarketcap.com//currencies/bonk1/,"{'solscan': 'https://solscan.io/token/DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263', 'source_code"":': 'source_code"":'}"
klaytn,https://coinmarketcap.com//currencies/klaytn/,{'scope': 'https://scope.klaytn.com/blocks'}
mina,https://coinmarketcap.com//currencies/mina/,"{'minaexplorer': 'https://minaexplorer.com/', 'minascan': 'https://minascan.io/'}"
